GOLDEVIDENCEBENCH_MODEL,GOLDEVIDENCEBENCH_REQUIRE_CITATIONS,adapter_schema_version,baseline,chapters,cite_f1,cite_p,cite_r,clear_rate,data_path,derived_query_rate,distractor_profile,distractor_profiles,distractor_rate,entailment,episodes,exact_acc,instr_conflict_present_count,instr_conflict_present_rate,instr_override_rate,instruction_acc,instruction_gap,keys,max_book_tokens,n,no_derived_queries,no_require_citations,protocol,queries,require_citations,seed,seeds,state_integrity_rate,state_mode,state_modes,steps,tail_distractor_steps,twin_consistency,twin_flip_rate,twins,value_acc
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed0-steps80-book400-modekv-profstandard\data.jsonl,0.0,standard,"standard,instruction_suite",0.5,1.0,1,1.0,,,,,,10,400,16,True,,closed_book,16,True,0,4,,kv,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed0-steps80-book400-modekv-profinstruction_suite\data.jsonl,0.0,instruction_suite,"standard,instruction_suite",0.5,1.0,1,1.0,15,1.0,0.0,1.0,,10,400,16,True,,closed_book,16,True,0,4,1.0,kv,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed0-steps80-book400-modeset-profstandard\data.jsonl,0.0,standard,"standard,instruction_suite",0.5,1.0,1,1.0,,,,,,10,400,16,True,,closed_book,16,True,0,4,,set,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed0-steps80-book400-modeset-profinstruction_suite\data.jsonl,0.0,instruction_suite,"standard,instruction_suite",0.5,1.0,1,1.0,12,1.0,0.0,1.0,,10,400,16,True,,closed_book,16,True,0,4,1.0,set,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed1-steps80-book400-modekv-profstandard\data.jsonl,0.0,standard,"standard,instruction_suite",0.5,1.0,1,1.0,,,,,,10,400,16,True,,closed_book,16,True,1,4,,kv,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed1-steps80-book400-modekv-profinstruction_suite\data.jsonl,0.0,instruction_suite,"standard,instruction_suite",0.5,1.0,1,1.0,16,1.0,0.0,1.0,,10,400,16,True,,closed_book,16,True,1,4,1.0,kv,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed1-steps80-book400-modeset-profstandard\data.jsonl,0.0,standard,"standard,instruction_suite",0.5,1.0,1,1.0,,,,,,10,400,16,True,,closed_book,16,True,1,4,,set,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed1-steps80-book400-modeset-profinstruction_suite\data.jsonl,0.0,instruction_suite,"standard,instruction_suite",0.5,1.0,1,1.0,15,1.0,0.0,1.0,,10,400,16,True,,closed_book,16,True,1,4,1.0,set,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed2-steps80-book400-modekv-profstandard\data.jsonl,0.0,standard,"standard,instruction_suite",0.5,1.0,1,1.0,,,,,,10,400,16,True,,closed_book,16,True,2,4,,kv,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed2-steps80-book400-modekv-profinstruction_suite\data.jsonl,0.0,instruction_suite,"standard,instruction_suite",0.5,1.0,1,1.0,15,1.0,0.0,1.0,,10,400,16,True,,closed_book,16,True,2,4,1.0,kv,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed2-steps80-book400-modeset-profstandard\data.jsonl,0.0,standard,"standard,instruction_suite",0.5,1.0,1,1.0,,,,,,10,400,16,True,,closed_book,16,True,2,4,,set,"kv,set",80,0,,,False,1.0
C:\AI\models\qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,,1.0,goldevidencebench.adapters.retrieval_llama_cpp_adapter:create_adapter,6,1.0,1.0,1.0,0.08,runs\release_gates\instruction_override_gate\seed2-steps80-book400-modeset-profinstruction_suite\data.jsonl,0.0,instruction_suite,"standard,instruction_suite",0.5,1.0,1,1.0,14,1.0,0.0,1.0,,10,400,16,True,,closed_book,16,True,2,4,1.0,set,"kv,set",80,0,,,False,1.0
